Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
43,LE_SSITC_TEST,"Results of the quality flagging for LE according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,LEAF_WET,"Leaf wetness, range 0-100",%,0,100,105,-5,100,28,5,-6.61E-01,-6.61E-01,1.11E+02,1.11E+02,0.00E+00,0,100,100
45,LW_BC_IN,"Longwave radiation, below canopy incoming",W m-2,50,600,627.5,22.5,550,50,50,1.22E+02,1.18E+02,5.38E+02,5.57E+02,2.93E+01,24.9,117.621,121.1
46,LW_BC_OUT,"Longwave radiation, below canopy outgoing",W m-2,100,750,782.5,67.5,650,50,50,1.62E+02,1.50E+02,7.36E+02,7.40E+02,2.98E+01,19.6,122.626,123.9
47,LW_IN,"Longwave radiation, incoming",W m-2,50,600,627.5,22.5,550,287,266,1.01E+02,6.69E+01,5.65E+02,5.95E+02,3.23E+01,16.8410906,106.226,109.1
48,LW_OUT,"Longwave radiation, outgoing",W m-2,100,750,782.5,67.5,650,283,261,1.50E+02,1.43E+02,6.75E+02,7.37E+02,2.74E+01,15.8703535,117.4243509,129.47
49,MCRI,"Carotenoid Reflectance Index (Gitelson et al., 2002)",nondimensional,0,10,10.5,-0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,MO_LENGTH,Monin-Obukhov length,m,NA,NA,NA,NA,NA,115,112,-3.97E+09,-4.31E+16,5.49E+09,4.39E+16,4.75E-01,0.05833885,447.3120652,498.882
51,MTCI,"Meris Terrestrial Chlorophyll Index (Dash and Curran, 2004)",nondimensional,0,10,10.5,-0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,N2O,Nitrous Oxide (N2O) mole fraction in wet air,nmolN2O mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,N2O_MIXING_RATIO,Nitrous Oxide (N2O) in mole fraction of dry air,nmolN2O mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NDVI,Normalized Difference Vegetation Index,nondimensional,-1,1,1.1,-1.1,2,10,10,-5.54E-01,-5.62E-01,9.92E-01,1.00E+00,5.36E-02,0.05,0.5429563,0.557
55,NEE,Net Ecosystem Exchange,µmolCO2 m-2 s-1,-100,100,110,-110,200,202,152,-7.94E+01,-8.91E+01,7.63E+01,9.42E+01,4.65E-01,0.308,18.7011978,29.0175
56,NETRAD,Net radiation,W m-2,-200,1100,1165,-265,1300,400,347,-1.91E+02,-4.09E+02,9.84E+02,1.43E+03,3.21E+01,16.415,403.0734864,493.83025
57,NIRV,"Near Infrared Vegetation Index (Badgley et al., 2017)",W m-2 sr-1 nm-1,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NO,Nitric oxide (NO) mole fraction in wet air,nmolNO mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NO2,Nitrogen dioxide (NO2) mole fraction in wet air,nmolNO2 mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
